モデル,対象件数,実際の到達率(%),AUC,Brier,10%以上件数,10%以上的中率(%),20%以上件数,20%以上的中率(%),30%以上件数,30%以上的中率(%),MAE(%),方向一致率(%),予測平均(%),実績平均(%)
+5%到達,1140,15.526,0.6148,0.21734,1124.0,15.75,1075.0,16.37,922.0,18.11,,,,
+10%到達,1140,4.649,0.6868,0.12049,977.0,5.42,754.0,6.37,497.0,7.24,,,,
5日後上昇幅,1140,,,,,,,,,,4.137,52.28,0.45,0.33
