strategy,trades,periods,win_rate_pct,net_avg_excess_return_5d_pct,profit_factor,status,note
順張り・トレンド確認,160,16,34.375,-0.8159826778490572,0.8768778304409646,RESEARCH_ONLY,ルールはOOS結果を見る前に固定。取引コスト0.15%控除。十分な期間・件数・生存者バイアス対策前のため売買判断には不使用。
順張り・出来高確認,160,16,35.625,-1.642043494996156,0.692800617740276,RESEARCH_ONLY,ルールはOOS結果を見る前に固定。取引コスト0.15%控除。十分な期間・件数・生存者バイアス対策前のため売買判断には不使用。
20日高値ブレイク,160,16,34.375,-1.5892061128786785,0.7532605831846694,RESEARCH_ONLY,ルールはOOS結果を見る前に固定。取引コスト0.15%控除。十分な期間・件数・生存者バイアス対策前のため売買判断には不使用。
