モデル,OOS件数,AUC,Brier,60%以上件数,60%以上勝率(%),60%以上平均騰落率(%),全体平均騰落率(%),学習終了日
全東証V3・上昇,1102676,0.5385,0.2488,1721,42.24,-0.029,0.487,2025-06-05
全東証V3・+2%,1102676,0.5935,0.2372,63366,36.15,0.676,0.487,2025-06-05
