コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
153A,カウリス,グロース（内国株式）,情報・通信業,-,1733.0,155.13572,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.989416+09:00
155A,情報戦略テクノロジー,グロース（内国株式）,情報・通信業,-,810.0,28.156475,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:14.991577+09:00
156A,マテリアルグループ,グロース（内国株式）,サービス業,-,872.0,36.80432186126709,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.993589+09:00
157A,グリーンモンスター,グロース（内国株式）,サービス業,-,749.0,10.032,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.995541+09:00
1605,ＩＮＰＥＸ,プライム（内国株式）,鉱業,TOPIX Mid400,3834.0,20986.790615,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:14.997545+09:00
160A,アズパートナーズ,スタンダード（内国株式）,サービス業,-,1994.0,14.596805,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:14.999684+09:00
1662,石油資源開発,プライム（内国株式）,鉱業,TOPIX Small 1,1879.0,2616.86117,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:15.003570+09:00
1663,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,TOPIX Small 1,1934.0,407.21881,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:15.005906+09:00
166A,タスキホールディングス,プライム（内国株式）,不動産業,TOPIX Small 2,1088.0,342.17297,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:15.007917+09:00
167A,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業,TOPIX Small 1,3330.0,445.88015,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:15.009853+09:00
1716,第一カッター興業,スタンダード（内国株式）,建設業,TOPIX Small 2,1368.0,28.445375,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:17.489588+09:00
1717,明豊ファシリティワークス,スタンダード（内国株式）,サービス業,-,935.0,11.41604,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:17.494274+09:00
1719,安藤・間,プライム（内国株式）,建設業,TOPIX Mid400,1910.0,1288.5280225,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:17.501599+09:00
