コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
2503,キリンホールディングス,プライム（内国株式）,食料品,TOPIX Large70,2821.0,8208.0329025,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:28.875639+09:00
250A,シマダヤ,スタンダード（内国株式）,食料品,TOPIX Small 2,1609.0,63.573395,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:28.877331+09:00
2531,宝ホールディングス,プライム（内国株式）,食料品,TOPIX Mid400,2592.0,1292.19762,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:28.881808+09:00
2533,オエノンホールディングス,プライム（内国株式）,食料品,TOPIX Small 2,483.0,65.085265,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.884847+09:00
253A,ＥＴＳグループ,スタンダード（内国株式）,建設業,-,1042.0,12.22762,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.886831+09:00
254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,証券、商品先物取引業,-,1214.0,16.36789,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.888563+09:00
255A,ジーエルテクノホールディングス,スタンダード（内国株式）,精密機器,-,5440.0,249.6146,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.890286+09:00
256A,飛島ホールディングス,プライム（内国株式）,建設業,TOPIX Small 2,2296.0,586.754985,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.891923+09:00
2573,北海道コカ・コーラボトリング,スタンダード（内国株式）,食料品,-,4090.0,15.288575,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.893584+09:00
2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,食料品,TOPIX Mid400,3779.0,2647.99281,0,,2026-09-24,2026-09-24T20:36:28.895928+09:00
2585,ライフドリンク　カンパニー,プライム（内国株式）,食料品,TOPIX Small 1,1318.0,902.0203,0,,2026-09-24,2026-09-24T20:36:28.899237+09:00
2586,フルッタフルッタ,グロース（内国株式）,食料品,-,60.0,58.035155,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:28.901350+09:00
2587,サントリービバレッジ＆フード,プライム（内国株式）,食料品,TOPIX Mid400,4492.0,4330.37011,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:28.903087+09:00
2588,プレミアムウォーターホールディングス,スタンダード（内国株式）,食料品,-,3700.0,14.1056,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.904759+09:00
2590,ダイドーグループホールディングス,プライム（内国株式）,食料品,TOPIX Small 1,2994.0,365.99646,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:28.906438+09:00
2593,伊藤園,プライム（内国株式）,食料品,TOPIX Mid400,3172.0,1614.300615,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:28.908115+09:00
2594,キーコーヒー,プライム（内国株式）,食料品,TOPIX Small 2,2006.0,153.880525,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.909793+09:00
2597,ユニカフェ,スタンダード（内国株式）,食料品,-,1290.0,12.4466,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.911853+09:00
2602,日清オイリオグループ,プライム（内国株式）,食料品,TOPIX Small 1,2069.0,535.835945,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:28.916411+09:00
2607,不二製油,プライム（内国株式）,食料品,TOPIX Mid400,4409.0,1218.123075,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.920298+09:00
2612,かどや製油,スタンダード（内国株式）,食料品,-,2850.0,460.82637,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.922724+09:00
2613,Ｊ－オイルミルズ,プライム（内国株式）,食料品,TOPIX Small 2,2268.0,190.059065,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.924504+09:00
261A,日水コン,スタンダード（内国株式）,サービス業,-,2000.0,54.014795,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.926189+09:00
262A,インターメスティック,プライム（内国株式）,小売業,TOPIX Small 2,1722.0,388.969225,0,,2026-09-24,2026-09-24T20:36:28.927780+09:00
264A,Ｓｃｈｏｏ,グロース（内国株式）,サービス業,-,310.0,43.94252,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.932497+09:00
2652,まんだらけ,スタンダード（内国株式）,小売業,-,422.0,72.973115,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.935677+09:00
2653,イオン九州,スタンダード（内国株式）,小売業,-,2802.0,67.82807224121093,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:28.938673+09:00
2656,ベクターホールディングス,スタンダード（内国株式）,小売業,-,162.0,51.3016,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.942443+09:00
2659,サンエー,プライム（内国株式）,小売業,TOPIX Small 1,3355.0,532.9368,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.944102+09:00
265A,Ｈｍｃｏｍｍ,グロース（内国株式）,情報・通信業,-,798.0,58.51601,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.949956+09:00
2664,カワチ薬品,プライム（内国株式）,小売業,TOPIX Small 1,3685.0,287.5937944567871,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.953048+09:00
2666,オートウェーブ,スタンダード（内国株式）,小売業,-,193.0,10.871165,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.955019+09:00
2667,イメージ　ワン,スタンダード（内国株式）,卸売業,-,108.0,71.751155,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:28.956737+09:00
2669,カネ美食品,スタンダード（内国株式）,小売業,-,3935.0,45.11486730834961,3,株価が25日線より上／25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.960049+09:00
2670,エービーシー・マート,プライム（内国株式）,小売業,TOPIX Mid400,2706.0,1523.4486589111327,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.962401+09:00
2674,ハードオフコーポレーション,プライム（内国株式）,小売業,TOPIX Small 2,2597.0,148.002195,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:28.967482+09:00
2676,高千穂交易,プライム（内国株式）,卸売業,TOPIX Small 2,2076.0,32.934665,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.969232+09:00
2678,アスクル,プライム（内国株式）,小売業,TOPIX Small 1,1229.0,485.089165,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.970855+09:00
2681,ゲオホールディングス,プライム（内国株式）,小売業,TOPIX Small 1,2341.0,362.139335,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.972468+09:00
2685,アンドエスティＨＤ,プライム（内国株式）,小売業,TOPIX Small 1,3170.0,911.224174173584,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:28.975638+09:00
268A,リガク・ホールディングス,プライム（内国株式）,精密機器,TOPIX Small 1,1631.0,3858.164995,0,,2026-09-24,2026-09-24T20:36:28.984657+09:00
2693,ＹＫＴ,スタンダード（内国株式）,卸売業,-,285.0,13.105155,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:28.987523+09:00
2694,焼肉坂井ホールディングス,スタンダード（内国株式）,小売業,-,72.0,11.434345,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.989548+09:00
2695,くら寿司,プライム（内国株式）,小売業,TOPIX Small 1,1692.0,874.430795,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:28.991301+09:00
2698,キャンドゥ,スタンダード（内国株式）,小売業,TOPIX Small 2,3275.0,73.13147044189454,0,,2026-09-24,2026-09-24T20:36:28.993051+09:00
269A,Ｓａｐｅｅｔ,グロース（内国株式）,情報・通信業,-,3095.0,28.6406,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.846051+09:00
2700,木徳神糧,スタンダード（内国株式）,卸売業,-,1740.0,24.113515,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.848129+09:00
2702,日本マクドナルドホールディングス,スタンダード（内国株式）,小売業,-,7660.0,3780.7016,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.849881+09:00
2705,大戸屋ホールディングス,スタンダード（内国株式）,小売業,-,8880.0,218.2557,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.851613+09:00
2726,パルグループホールディングス,プライム（内国株式）,小売業,TOPIX Small 1,1469.0,1242.752275,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.862309+09:00
2730,エディオン,プライム（内国株式）,小売業,TOPIX Small 1,2494.0,598.49926,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.864056+09:00
2733,あらた,プライム（内国株式）,卸売業,TOPIX Small 1,2712.0,275.824705,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.865713+09:00
2734,サーラコーポレーション,プライム（内国株式）,小売業,TOPIX Small 2,1228.0,168.64994,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.867421+09:00
2735,ワッツ,スタンダード（内国株式）,小売業,-,717.0,48.26794871673584,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.869113+09:00
2737,トーメンデバイス,プライム（内国株式）,卸売業,TOPIX Small 2,39950.0,4362.48,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.872286+09:00
2742,ハローズ,プライム（内国株式）,小売業,TOPIX Small 2,3930.0,195.962469453125,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.876394+09:00
2749,ＪＰホールディングス,プライム（内国株式）,サービス業,TOPIX Small 1,662.0,190.320595,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.882480+09:00
274A,ガーデン,スタンダード（内国株式）,小売業,-,2236.0,25.55482021484375,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.884577+09:00
2751,テンポスホールディングス,スタンダード（内国株式）,卸売業,-,3655.0,29.032675,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:30.888232+09:00
2752,フジオフードグループ本社,プライム（内国株式）,小売業,TOPIX Small 1,1167.0,86.51978,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.891657+09:00
2753,あみやき亭,プライム（内国株式）,小売業,TOPIX Small 2,1384.0,38.706175,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.894947+09:00
2760,東京エレクトロン　デバイス,プライム（内国株式）,卸売業,TOPIX Small 1,4505.0,522.48455,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.897055+09:00
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,小売業,-,69.0,11.4649,0,,2026-09-24,2026-09-24T20:36:30.899380+09:00
2764,ひらまつ,スタンダード（内国株式）,小売業,-,168.0,40.949045,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.901205+09:00
2767,円谷フィールズホールディングス,プライム（内国株式）,卸売業,TOPIX Small 1,2599.0,1166.48513,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.902898+09:00
2768,双日,プライム（内国株式）,卸売業,TOPIX Mid400,5714.0,6920.729555,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.904527+09:00
276A,ククレブ・アドバイザーズ,グロース（内国株式）,不動産業,-,4270.0,105.47252626586913,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.910784+09:00
2776,新都ホールディングス,スタンダード（内国株式）,卸売業,-,94.0,40.622385,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.912949+09:00
277A,グロービング,プライム（内国株式）,サービス業,TOPIX Small 2,1900.0,242.835595,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.916268+09:00
2780,コメ兵ホールディングス,スタンダード（内国株式）,小売業,-,4470.0,522.73655,0,,2026-09-24,2026-09-24T20:36:30.917898+09:00
2782,セリア,スタンダード（内国株式）,小売業,-,4680.0,1715.59545,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.919482+09:00
2784,アルフレッサ　ホールディングス,プライム（内国株式）,卸売業,TOPIX Mid400,2384.0,999.7754725,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.921112+09:00
2788,アップルインターナショナル,スタンダード（内国株式）,卸売業,-,413.0,40.685555,2,株価が25日線より上／25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.922898+09:00
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,精密機器,-,19950.0,80363.91645,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.928225+09:00
2790,ナフコ,スタンダード（内国株式）,小売業,-,2132.0,16.329375,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.930005+09:00
2791,大黒天物産,プライム（内国株式）,小売業,TOPIX Small 1,4505.0,210.32655,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.931842+09:00
2792,ハニーズホールディングス,プライム（内国株式）,小売業,TOPIX Small 2,1439.0,71.25314,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.933579+09:00
2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,小売業,-,2992.0,12.261665,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.938157+09:00
2801,キッコーマン,プライム（内国株式）,食料品,TOPIX Mid400,1648.5,6112.5965525,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.941722+09:00
2802,味の素,プライム（内国株式）,食料品,TOPIX Large70,4998.0,13978.74853,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:30.944747+09:00
2804,ブルドックソース,プライム（内国株式）,食料品,TOPIX Small 2,1853.0,29.250355,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.947512+09:00
2805,ヱスビー食品,スタンダード（内国株式）,食料品,-,7590.0,695.6676,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.950043+09:00
2809,キユーピー,プライム（内国株式）,食料品,TOPIX Mid400,4461.0,1619.46843,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.953315+09:00
280A,ＴＭＨ,グロース（内国株式）,卸売業,-,1137.0,37.28014,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.954998+09:00
2810,ハウス食品グループ本社,プライム（内国株式）,食料品,TOPIX Mid400,3990.0,1133.874765,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.960111+09:00
2811,カゴメ,プライム（内国株式）,食料品,TOPIX Mid400,2702.5,867.258535,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:30.962487+09:00
2814,佐藤食品工業,スタンダード（内国株式）,食料品,-,1893.0,14.741965,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.966394+09:00
2815,アリアケジャパン,プライム（内国株式）,食料品,TOPIX Small 1,5250.0,444.89575,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:30.968069+09:00
2819,エバラ食品工業,スタンダード（内国株式）,食料品,TOPIX Small 2,2484.0,27.784685,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:30.977678+09:00
281A,インフォメティス,グロース（内国株式）,情報・通信業,-,400.0,34.330605,0,,2026-09-24,2026-09-24T20:36:30.979930+09:00
2820,やまみ,スタンダード（内国株式）,食料品,-,6400.0,122.03715,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.805879+09:00
285A,キオクシアホールディングス,プライム（内国株式）,電気機器,TOPIX Mid400,54580.0,1582248.61305,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:32.810289+09:00
286A,ユカリア,グロース（内国株式）,サービス業,-,747.0,19.963755,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:32.812081+09:00
2871,ニチレイ,プライム（内国株式）,食料品,TOPIX Mid400,2203.5,2526.80116,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.813838+09:00
2874,横浜冷凍,プライム（内国株式）,卸売業,TOPIX Small 1,2175.0,315.71044,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.817152+09:00
2875,東洋水産,プライム（内国株式）,食料品,TOPIX Mid400,9722.0,4141.060705,0,,2026-09-24,2026-09-24T20:36:32.820855+09:00
287A,黒田グループ,スタンダード（内国株式）,卸売業,-,1161.0,435.263715,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.827656+09:00
2882,イートアンドホールディングス,プライム（内国株式）,食料品,TOPIX Small 2,2011.0,66.70081508789063,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.829644+09:00
2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,食料品,TOPIX Small 2,616.0,45.222425,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.832888+09:00
288A,ラクサス・テクノロジーズ,グロース（内国株式）,サービス業,-,93.0,11.008135,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:32.835102+09:00
2892,日本食品化工,スタンダード（内国株式）,食料品,-,4905.0,22.342425,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.838030+09:00
2897,日清食品ホールディングス,プライム（内国株式）,食料品,TOPIX Mid400,2910.0,3625.147,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:32.841937+09:00
2901,ウェルディッシュ,スタンダード（内国株式）,食料品,-,150.0,17.47883260925293,0,,2026-09-24,2026-09-24T20:36:32.843651+09:00
2908,フジッコ,プライム（内国株式）,食料品,TOPIX Small 2,1629.0,64.465895,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.849925+09:00
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース（内国株式）,情報・通信業,-,1547.0,1741.413835,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.852976+09:00
2910,ロック・フィールド,プライム（内国株式）,食料品,TOPIX Small 2,1415.0,67.781035,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.855015+09:00
2914,日本たばこ産業,プライム（内国株式）,食料品,TOPIX Core30,6872.0,22621.8931,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.858236+09:00
2915,ケンコーマヨネーズ,プライム（内国株式）,食料品,TOPIX Small 2,2046.0,61.459565,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.859930+09:00
2918,わらべや日洋ホールディングス,プライム（内国株式）,食料品,TOPIX Small 1,2702.0,255.86360322998047,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.869493+09:00
2922,なとり,プライム（内国株式）,食料品,TOPIX Small 2,1983.0,29.702145,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.874940+09:00
2923,サトウ食品,スタンダード（内国株式）,食料品,-,7290.0,29.60925,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:32.878413+09:00
2926,篠崎屋,スタンダード（内国株式）,食料品,-,129.0,23.43301,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.883512+09:00
2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,食料品,-,851.0,24.92450978790283,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.886270+09:00
2929,ファーマフーズ,プライム（内国株式）,食料品,TOPIX Small 2,702.0,232.40354,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.888183+09:00
2930,北の達人コーポレーション,プライム（内国株式）,化学,TOPIX Small 2,133.0,47.75439971500397,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.889930+09:00
2931,ユーグレナ,プライム（内国株式）,食料品,TOPIX Small 1,347.0,193.47243,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.892223+09:00
2933,紀文食品,プライム（内国株式）,食料品,TOPIX Small 2,1125.0,75.80312,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.895779+09:00
2935,ピックルスホールディングス,プライム（内国株式）,食料品,TOPIX Small 2,1206.0,29.890584020996094,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.902651+09:00
2938,オカムラ食品工業,スタンダード（内国株式）,食料品,-,1290.0,59.143355,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.910485+09:00
2962,テクニスコ,スタンダード（内国株式）,金属製品,-,2270.0,833.63086,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.915312+09:00
296A,令和アカウンティング・ホールディングス,グロース（内国株式）,サービス業,-,1188.0,105.432765,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.917090+09:00
2975,スター・マイカ・ホールディングス,プライム（内国株式）,不動産業,TOPIX Small 2,1413.0,259.772755,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:32.924299+09:00
2980,ＳＲＥホールディングス,プライム（内国株式）,不動産業,TOPIX Small 2,2330.0,608.72745,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:32.930573+09:00
2982,ＡＤワークスグループ,プライム（内国株式）,不動産業,-,432.0,92.56396,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.935776+09:00
2983,アールプランナー,グロース（内国株式）,不動産業,-,1716.0,94.72617,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:32.938120+09:00
2986,ＬＡホールディングス,グロース（内国株式）,不動産業,-,2926.0,345.16131,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:32.941858+09:00
2991,ランドネット,スタンダード（内国株式）,不動産業,-,532.0,17.70516,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:35.294944+09:00
2998,クリアル,グロース（内国株式）,不動産業,-,531.0,46.98947,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:35.301723+09:00
2999,ホームポジション,スタンダード（内国株式）,不動産業,-,516.0,21.238774037170412,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:35.304612+09:00
299A,クラシル,グロース（内国株式）,サービス業,-,1217.0,258.468765,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.308086+09:00
3001,片倉工業,スタンダード（内国株式）,繊維製品,TOPIX Small 2,3075.0,89.01415,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.311611+09:00
3002,グンゼ,プライム（内国株式）,繊維製品,TOPIX Small 1,4110.0,688.248825,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:35.315568+09:00
3003,ヒューリック,プライム（内国株式）,不動産業,TOPIX Mid400,1727.0,3286.68417,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:35.318384+09:00
3004,神栄,スタンダード（内国株式）,卸売業,-,2057.0,10.341205,1,前日より出来高増加,2026-09-24,2026-09-24T20:36:35.321048+09:00
300A,ＭＩＣ,スタンダード（内国株式）,サービス業,-,3165.0,43.0278,2,25日線が75日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:35.323343+09:00
3010,ポラリス・ホールディングス,スタンダード（内国株式）,サービス業,-,189.0,21.28198,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:35.325617+09:00
3020,アプライド,スタンダード（内国株式）,小売業,-,4775.0,12.597225,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.330481+09:00
3021,パシフィックネット,スタンダード（内国株式）,サービス業,-,1653.0,18.040835,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:35.332822+09:00
3023,ラサ商事,スタンダード（内国株式）,卸売業,TOPIX Small 2,2075.0,45.635025,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.335231+09:00
3028,アルペン,プライム（内国株式）,小売業,TOPIX Small 1,2313.0,172.33982,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.340029+09:00
3030,ハブ,スタンダード（内国株式）,小売業,-,873.0,11.31149,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:35.345405+09:00
3031,ラクーンホールディングス,プライム（内国株式）,情報・通信業,TOPIX Small 2,676.0,67.885755,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:35.348110+09:00
3034,クオールホールディングス,プライム（内国株式）,小売業,TOPIX Small 1,2345.0,268.50256,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.350440+09:00
3035,ケイティケイ,スタンダード（内国株式）,卸売業,-,777.0,10.631865,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:35.352735+09:00
3036,アルコニックス,プライム（内国株式）,卸売業,TOPIX Small 1,3370.0,388.6445,2,25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.355022+09:00
3038,神戸物産,プライム（内国株式）,卸売業,TOPIX Mid400,2963.0,7098.9612725,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:35.357310+09:00
